node, assignment, time2inf, time2death
0,na,0,5.737003024062483
1,na,0,2.2915596924807216
2,na,0,125.018475180397
3,na,-1,0
4,c,125.018475180397,125.018475180397
5,t,125.018475180397,125.018475180397
6,t,67.60163862348315,68.29130942518475
7,t,125.018475180397,125.018475180397
8,t,125.018475180397,125.018475180397
9,t,125.018475180397,125.018475180397
10,t,125.018475180397,125.018475180397
11,c,125.018475180397,125.018475180397
12,c,125.018475180397,125.018475180397
13,c,125.018475180397,125.018475180397
14,t,125.018475180397,125.018475180397
15,t,125.018475180397,125.018475180397
16,t,125.018475180397,125.018475180397
17,c,125.018475180397,125.018475180397
18,c,125.018475180397,125.018475180397
19,t,125.018475180397,125.018475180397
20,t,125.018475180397,125.018475180397
21,t,125.018475180397,125.018475180397
22,c,125.018475180397,125.018475180397
23,t,125.018475180397,125.018475180397
24,t,125.018475180397,125.018475180397
25,na,-1,0
26,c,125.018475180397,125.018475180397
27,t,16.113016389933648,20.42707124156266
28,c,62.78522852030346,68.56049703385314
29,c,125.018475180397,125.018475180397
30,c,125.018475180397,125.018475180397
31,t,125.018475180397,125.018475180397
32,t,125.018475180397,125.018475180397
33,t,125.018475180397,125.018475180397
34,na,16.032629730542734,125.018475180397
35,c,125.018475180397,125.018475180397
36,c,125.018475180397,125.018475180397
37,c,125.018475180397,125.018475180397
38,c,125.018475180397,125.018475180397
39,c,125.018475180397,125.018475180397
40,t,125.018475180397,125.018475180397
41,c,125.018475180397,125.018475180397
42,c,26.061271497704688,125.018475180397
43,c,125.018475180397,125.018475180397
44,c,125.018475180397,125.018475180397
45,t,125.018475180397,125.018475180397
46,t,125.018475180397,125.018475180397
47,t,125.018475180397,125.018475180397
48,c,125.018475180397,125.018475180397
49,c,125.018475180397,125.018475180397
50,c,125.018475180397,125.018475180397
51,t,13.84978640964523,16.44312696949411
52,c,125.018475180397,125.018475180397
53,t,125.018475180397,125.018475180397
54,c,125.018475180397,125.018475180397
55,t,125.018475180397,125.018475180397
56,t,125.018475180397,125.018475180397
57,c,125.018475180397,125.018475180397
58,t,125.018475180397,125.018475180397
59,c,125.018475180397,125.018475180397
60,c,125.018475180397,125.018475180397
61,c,125.018475180397,125.018475180397
62,t,125.018475180397,125.018475180397
63,c,125.018475180397,125.018475180397
64,c,125.018475180397,125.018475180397
65,t,125.018475180397,125.018475180397
66,c,125.018475180397,125.018475180397
67,t,125.018475180397,125.018475180397
68,c,125.018475180397,125.018475180397
69,t,125.018475180397,125.018475180397
70,t,125.018475180397,125.018475180397
71,t,125.018475180397,125.018475180397
72,c,125.018475180397,125.018475180397
