node, assignment, time2inf_trt
0,ne_ni,1000
1,ne_ni,1000
2,ne_i,1000
3,ne_i,1000
4,ne_ni,1000
5,ne_ni,1000
6,ne_i,1000
7,ne_i,1000
8,ne_ni,1000
9,ne_ni,119.01938686924616
10,ne_i,1000
11,ne_ni,1000
12,ne_ni,18.534841403268697
13,ne_i,1000
14,ne_ni,83.38635575636391
15,ne_ni,1000
16,ne_ni,87.97965508329658
17,ne_ni,17.527796089855965
18,ne_ni,1000
19,ne_ni,1000
20,ne_ni,79.47566814533404
21,ne_i,1000
22,ne_i,1000
23,ne_ni,103.3212414021835
24,ne_ni,1000
25,ne_ni,1000
26,ne_ni,1000
27,ne_ni,1000
28,ne_ni,68.77794198287042
29,ne_ni,1000
30,ne_ni,1000
31,ne_ni,1000
32,ne_ni,95.42271206312337
33,ne_i,1000
34,ne_ni,1000
35,ne_i,1000
36,ne_i,1000
37,ne_ni,1000
38,ne_i,1000
39,ne_ni,1000
40,ne_ni,30.916944151171094
41,ne_ni,1000
42,e,1000
43,ne_ni,25.737636979184835
44,ne_ni,1000
45,ne_ni,1000
46,ne_i,1000
47,ne_i,1000
48,ne_i,1000
49,ne_ni,133.84614833119483
50,ne_ni,1000
51,ne_ni,1000
52,ne_i,1000
53,e,1000
54,ne_ni,1000
55,ne_ni,1000
56,ne_i,1000
57,ne_ni,1000
58,ne_ni,1000
59,ne_ni,1000
60,ne_ni,116.05784479871399
61,ne_ni,142.39243554829866
62,ne_ni,63.1690727068912
63,ne_ni,34.21924088440807
64,ne_ni,126.48747262691819
65,ne_ni,1000
66,ne_ni,1000
67,ne_ni,124.84426089197241
68,ne_ni,1000
69,ne_ni,1000
70,e,1000
71,ne_ni,112.72760610718554
72,e,1000
73,ne_i,98.88881352043492
74,e,1000
75,ne_ni,1000
76,ne_ni,1000
77,ne_i,1000
78,ne_ni,136.21725660508517
79,ne_ni,104.0182715642192
80,ne_i,1000
81,ne_i,1000
82,ne_i,1000
83,ne_ni,1000
84,ne_i,1000
85,ne_i,1000
86,ne_i,1000
87,ne_i,1000
88,ne_ni,1000
89,ne_ni,1000
90,ne_ni,1000
91,ne_ni,1000
92,ne_ni,1000
93,ne_ni,1000
94,ne_i,1000
95,ne_ni,1000
96,ne_i,1000
97,ne_ni,113.00036135092905
98,ne_ni,89.12647688906159
99,ne_ni,14.957127059537088
100,ne_ni,1000
101,ne_ni,1000
102,ne_ni,101.33451924443096
103,ne_ni,61.60159145913381
104,ne_i,1000
105,ne_i,1000
106,ne_ni,1000
107,ne_ni,1000
108,ne_ni,70.88634784491262
109,ne_i,1000
110,ne_i,1000
111,ne_ni,78.29751335911857
112,ne_ni,1000
113,ne_ni,105.06449799719321
114,ne_ni,62.31615417126049
115,ne_i,1000
116,ne_ni,1000
117,ne_i,1000
118,ne_ni,1000
119,ne_i,1000
120,ne_i,1000
121,ne_ni,1000
122,ne_ni,1000
123,ne_i,1000
124,ne_ni,1000
125,ne_ni,131.7444830350579
126,ne_ni,1000
127,ne_i,145.2452078140125
128,ne_i,1000
129,ne_ni,127.4258851270009
130,ne_i,1000
131,ne_ni,1000
132,ne_ni,0
133,ne_ni,36.898987856545965
134,ne_i,1000
135,ne_ni,1000
136,ne_ni,1000
137,ne_ni,1000
138,ne_ni,121.68383601366426
139,e,1000
140,ne_ni,1000
141,ne_ni,142.81736618871287
142,ne_ni,1000
143,ne_ni,1000
144,ne_ni,1000
145,ne_i,1000
146,ne_ni,1000
147,ne_ni,1000
148,ne_ni,1000
149,ne_ni,1000
