node, assignment, time2inf_trt
0,na,48.61909167993972
1,na,70.27933628965917
2,na,55.56213333945173
3,e,1000
4,na,43.2361694788496
5,na,1000
6,na,1000
7,na,112.7905414502351
8,na,1000
9,e,1000
10,na,70.99937951606951
11,na,96.92009034018989
12,na,1000
13,na,50.25507950709334
14,na,54.452423569527234
15,na,33.65419837443763
16,na,64.01472624018393
17,e,1000
18,na,55.206494889186885
19,na,97.40669944725086
20,na,94.49026529061429
21,na,53.2437818575613
22,na,35.4323429268649
23,na,57.415393944796875
24,na,115.44208420583695
25,na,92.13730952952638
26,na,32.791132326264936
27,na,58.90923267504414
28,na,1000
29,na,58.259514487877865
30,na,52.12449048700477
31,e,1000
32,na,97.28105704495738
33,e,1000
34,na,1000
35,na,30.246869334474198
36,na,52.478670074263306
37,na,67.47386294299965
38,e,1000
39,na,1000
40,na,62.12819845804749
41,na,55.19246614651929
42,e,1000
43,na,33.901626148666466
44,na,66.0907115990006
45,na,68.68592302599066
46,na,1000
47,na,59.32001498968084
48,e,1000
49,na,50.60049043153898
50,na,51.64829422134013
51,na,1000
52,na,38.50825552249593
53,na,1000
54,na,1000
55,na,30.59281657098793
56,na,1000
57,na,1000
58,na,1000
59,na,21.29641401989756
60,na,1000
61,na,41.81164487019471
62,na,45.43408994034952
63,na,51.52856467216395
64,na,26.861411268239987
65,na,56.97140385818912
66,na,41.925760133848534
67,na,1000
68,na,9.856156260255865
69,na,47.06808681477987
70,na,52.18779871196769
71,e,1000
72,na,37.96134456182807
73,na,81.43757808235033
74,na,107.8221226362393
75,na,1000
76,na,34.48425274204927
77,na,30.27570026607642
78,e,1000
79,na,74.97939287425673
80,na,27.856280868200678
81,na,40.77054814633402
82,na,1000
83,na,108.57495798935994
84,e,1000
85,na,41.33283715773249
86,na,1000
87,na,55.68303033979646
88,na,1000
89,na,50.59376919639248
90,na,25.685178456285993
91,na,56.36477376606074
92,na,52.50016363743845
93,na,107.97228296307752
94,na,17.92408829911112
95,na,28.321333131991114
96,na,15.527140042280472
97,na,118.62716882654637
98,na,42.750326521814436
99,na,0
100,na,22.411727953268766
101,na,1000
102,e,1000
103,na,26.586039212917044
104,na,1000
105,na,44.81477293053931
106,na,1000
107,na,26.847115756024447
108,na,49.26046093322771
109,e,1000
110,na,30.409685234175537
111,na,46.90843674323884
112,na,1000
113,na,23.079675658170526
114,na,56.58194471568704
115,na,84.91287832229786
116,na,21.65660857566359
117,e,1000
118,na,60.751573633600046
119,na,1000
120,na,36.61879522717158
121,na,1000
122,e,1000
123,na,41.64774349336699
124,e,1000
125,na,109.15823629379341
126,na,53.4371287932664
127,na,0
128,na,1000
129,na,1000
130,na,57.47641536101852
131,na,1000
132,na,48.20303543875309
133,na,14.802531754837624
134,na,71.37941053700183
135,na,43.46285022839829
136,na,51.48333923671221
137,na,73.3304649678547
138,na,21.20977974198159
139,na,75.24631452259139
140,na,58.43642350961471
141,e,1000
142,na,39.764594970316445
143,na,40.70351845217319
144,na,86.05635507410355
145,e,1000
146,na,1000
147,e,1000
148,na,1000
149,na,63.46684522803262
150,na,51.56637213360601
151,na,1000
152,e,1000
153,na,1000
154,na,15.249722297692841
155,na,103.81221493916436
156,na,78.73434814424324
157,na,72.23887700162065
158,na,26.017381336035356
159,na,1000
160,na,74.84232959122109
161,na,105.83633718412634
162,na,1000
163,na,33.22426448820297
164,na,1000
165,na,65.01341929778667
166,na,45.633458661915455
167,na,85.48318926778747
168,na,1000
169,na,36.89827606215918
170,na,35.91004461573266
171,na,45.520509824749475
172,na,40.09372741885138
173,na,41.73413047473797
174,na,64.28455204228715
175,na,30.64098087585445
176,na,28.593144631537896
177,na,47.73709570433091
178,na,65.90163271005666
179,na,1000
180,na,83.98093851185486
181,na,1000
182,e,1000
183,na,1000
184,na,1000
185,e,1000
186,na,49.248111702779944
187,na,1000
188,na,1000
189,na,18.91466696440755
190,na,1000
191,na,84.4934189019453
192,na,1000
193,na,1000
194,na,1000
195,na,45.433343924811524
196,na,30.760672775938776
197,na,64.94195778974041
198,na,24.035110091944123
199,na,73.31025182871765
200,na,1000
201,na,40.787000872423704
202,na,1000
203,na,1000
204,na,1000
205,na,73.51663146405336
206,e,1000
207,e,1000
208,na,79.84233919622417
209,na,39.60873730746553
210,na,80.06104779820696
211,na,1000
212,na,16.365050525163547
213,na,50.02223939200294
214,na,1000
215,na,1000
216,na,54.38631668255233
217,na,55.45957210191298
218,na,44.46723256448293
219,na,100.57403941975062
220,na,20.978654063858137
221,na,58.12954729273155
222,na,1000
223,na,24.466087174206628
224,na,59.640242896953055
225,na,31.422943257076476
226,na,108.5732413855466
227,na,36.63329370573712
228,na,19.88915612811805
229,na,50.82451487996771
230,na,31.77815571248892
231,na,1000
232,na,54.83645724458489
233,na,1000
234,na,62.4912916511101
235,na,48.20262661974917
236,na,1000
237,na,59.47517162683003
238,na,15.501994130814788
239,na,23.78023469457467
240,na,61.70878053611492
241,na,28.880872478715567
242,na,48.24647353760554
243,na,46.1095137811843
244,na,37.33667828781026
245,na,51.36620877529797
246,na,16.98351695925077
247,na,1000
248,na,56.34633554646789
249,na,94.68690096199107
250,na,122.53159259944887
251,na,10.077443083123441
252,na,40.38142794350057
253,na,27.122684454892344
254,na,59.370280230625674
255,na,1000
256,e,1000
257,na,42.45232967399898
258,na,28.73880708573036
259,na,1000
260,na,54.3129227615374
261,na,89.11333536964865
262,e,1000
263,na,1000
264,e,1000
265,na,25.290496039856688
266,na,93.29200701458002
267,na,1000
268,e,1000
269,na,1000
270,na,1000
271,na,106.86756333783839
272,na,68.50550649765032
273,na,55.982276877951534
274,na,104.02966772771278
275,na,49.61473979407664
276,na,68.49080268601888
277,na,1000
278,na,86.71417184194001
279,na,3.934535531846326
280,na,77.28903155582009
281,na,64.01237610419176
282,na,70.3492707021827
283,na,39.70317801927469
284,na,12.67077414632702
285,na,56.653702139568416
286,na,64.24283633949206
287,e,1000
288,na,44.95814443244479
289,e,1000
290,na,22.876692687576355
291,na,26.98940116627314
292,na,26.08356599505802
293,na,46.803882712049344
294,na,80.82367232296926
295,na,1000
296,na,42.77942172467712
297,na,1000
298,na,46.28350398709628
299,na,55.00194080740936
300,na,62.17770345171748
301,na,1000
302,na,70.27394943323348
303,na,53.3768996314671
304,na,0
305,na,76.42242541036786
306,na,67.8043216292413
307,na,84.24139882538861
308,na,1000
309,na,55.64455153718761
310,na,31.578948229447608
311,na,1000
312,na,26.69248156405583
313,na,39.42458810695477
314,na,64.21200299182735
315,na,87.12132949120537
316,na,15.649711007036144
317,na,70.46266851848193
318,na,48.713636453082245
319,na,1000
320,na,1000
321,na,41.72155937102192
322,na,103.17906579387461
323,na,54.050928336954385
324,na,1000
325,e,1000
326,na,46.76122946111849
327,na,22.824553845658016
328,na,84.81929670211278
329,na,24.569420064930632
330,na,27.13782140077599
331,na,10.917604881533853
332,na,39.11440507233023
333,na,1000
334,na,1000
335,e,1000
336,na,1000
337,e,1000
338,na,33.473832554567096
339,e,1000
340,na,54.07802168158429
341,na,77.03403542148934
342,na,49.987326566780304
