node, assignment, time2inf_trt
0,na,81.33781204421909
1,na,21.77921437638891
2,na,78.64911143343184
3,na,34.38576047608134
4,na,29.628546839612834
5,na,22.056069853733643
6,na,64.42426179197194
7,na,1000
8,na,35.93854297868651
9,na,50.28312796799604
10,na,39.01536012647507
11,na,17.208181030809147
12,na,59.60377226640175
13,na,50.693386057962364
14,na,54.435890547281105
15,na,80.9851801086194
16,na,25.735807291441777
17,na,50.997910330162874
18,na,51.041757189485786
19,na,55.370477364001914
20,na,27.68476975425666
21,e,1000
22,na,69.88388322871796
23,na,43.29071585383665
24,na,53.241417982388036
25,e,1000
26,na,75.88135706289754
27,na,45.791700025742124
28,na,66.33986438975248
29,na,16.911684254928193
30,na,51.358995268600765
31,na,50.56939060145243
32,na,5.620157323309836
33,na,44.01814320543863
34,na,45.07798037908684
35,na,46.14909654171814
36,na,56.09709850490821
37,e,1000
38,na,31.674180575186586
39,na,82.0660396151815
40,na,40.719905570401686
41,e,1000
42,na,42.49582464638593
43,na,1000
44,na,29.330642702290767
45,na,56.13368006298718
46,e,1000
47,na,63.062889874726295
48,na,26.420568693065384
49,na,46.222758899037316
50,na,66.48853048218368
51,e,1000
52,na,64.03576587741733
53,na,59.736144887901546
54,na,47.57239037184624
55,na,109.02264557536985
56,na,81.15737095085476
57,e,1000
58,e,1000
59,na,1000
60,na,53.43020132269994
61,na,96.70211386154543
62,na,41.85365147189102
63,na,49.67062275320496
64,na,60.92699660144725
65,na,68.8899050142292
66,na,57.43854471338366
67,na,99.72744349653775
68,na,75.64056504193339
69,na,1000
70,na,99.23406331114428
71,e,1000
72,na,60.021112692155846
73,na,84.89840698434028
74,na,53.97231770852664
75,na,61.76500041376007
76,na,54.13616127924238
77,na,53.17501091011818
78,na,50.47492034624244
79,na,15.167471376103055
80,na,49.38716083632121
81,na,76.77173304309275
82,na,42.33794679982444
83,na,73.35412302525002
84,na,52.38428231175445
85,na,37.95643147227982
86,na,69.6998918938119
87,e,1000
88,na,1000
89,na,15.992870325877192
90,na,28.42490806434477
91,na,43.35640843318221
92,na,24.140291323860954
93,na,50.486948389903674
94,na,87.74934814243987
95,na,22.16211136959296
96,na,66.16250185172295
97,e,1000
98,e,1000
99,e,1000
100,e,1000
101,e,1000
102,na,61.50205510520114
103,e,1000
104,na,67.21775801520207
105,e,1000
106,na,61.37829746325051
107,na,60.91192506734398
108,na,58.214475056967004
109,na,35.43960995916913
110,na,45.643426654521946
111,na,47.71794740111252
112,na,1000
113,na,89.39151996707092
114,na,77.26300162983755
115,e,1000
116,na,49.229137840432124
117,na,1000
118,na,59.411563490053105
119,na,44.015651227103966
120,na,17.225848116532344
121,na,56.96295124311437
122,na,64.07780161783283
123,na,100.06921792859792
124,na,59.91439826490351
125,na,64.61653856283127
126,na,1000
127,na,84.63601858245225
128,na,1000
129,na,43.363416943904035
130,na,1000
131,na,1000
132,na,56.76260690545934
133,na,65.1336006362759
134,na,45.90874757172812
135,na,44.036697259812854
136,na,51.06423148772049
137,na,70.78495986813175
138,na,30.238733979985085
139,na,48.75491697140969
140,na,36.76478360688921
141,na,60.07853989620977
142,na,41.97941026249655
143,e,1000
144,na,66.9923876351933
145,na,50.68247791264866
146,na,57.282412606312626
147,na,1000
148,na,35.41891037233659
149,e,1000
150,na,64.66207122942286
151,na,48.86790012482254
152,na,101.68719835648587
153,na,43.683091018600244
154,na,16.56916779591881
155,na,52.60249767477239
156,na,1000
157,na,40.844597270652585
158,na,43.77889250999027
159,na,71.82317749427322
160,na,8.595301507542986
161,na,1000
162,na,95.80929652750613
163,na,77.48548402262992
164,na,1000
165,na,38.31536565910352
166,na,54.76238280378399
167,na,1000
168,na,56.378540884569674
169,na,45.804977512447834
170,na,51.91815888799195
171,na,94.30539016035321
172,e,1000
173,na,1000
174,na,25.031057042865296
175,na,64.23474358325797
176,na,72.19128976035806
177,na,51.914633225738136
178,na,39.14042216345737
179,na,27.547920296724374
180,na,50.86570968103437
181,na,40.6016840730254
182,na,41.33775677594284
183,na,73.54128546541386
184,na,1000
185,na,34.35967850055184
186,na,56.64088116462297
187,na,50.54419169035164
188,na,82.29837899359485
189,na,45.0946356440597
190,na,81.98629130800175
191,na,35.796907637524704
192,na,53.243445998061006
193,na,104.38814674265664
194,na,61.95608089524236
195,na,86.48231631076307
196,na,70.75377799247639
197,e,1000
198,na,48.55131207750421
199,na,59.83759696239009
200,na,65.46269650286469
201,na,55.99549758523269
202,na,37.835596482431434
203,na,52.52452139879902
204,e,1000
205,na,78.21258171141213
206,na,88.67043986013836
207,na,56.975395015171394
208,na,38.72216253121928
209,na,49.431093763631594
210,na,54.86803303767629
211,na,65.98200188028856
212,na,80.67363155716403
213,na,37.24659268023768
214,na,44.88952159995459
215,na,65.09441732323005
216,na,22.347726833908553
217,na,37.25724644094261
218,na,40.74358472258062
219,na,1000
220,na,1000
221,na,62.884617633605494
222,na,71.50525388218976
223,na,74.78349057189784
224,na,56.34241849512265
225,na,54.042621421173614
226,na,68.47764106549425
227,na,10.128368928704806
228,na,41.53746278163276
229,na,55.00609970202851
230,na,45.042896586112995
231,na,45.57795623693658
232,na,38.73800679073908
233,e,1000
234,na,1000
235,na,66.6244937717202
236,na,62.94948545683546
237,na,87.4362097907112
238,na,70.43996432976995
239,na,27.797655494926584
240,na,79.84413606420684
241,na,47.3968404512858
242,na,82.59936571750048
243,na,54.67069669346878
244,na,38.843986755359715
245,na,39.09911636969528
246,na,61.50006786343579
247,na,44.71389858421867
248,na,32.963287537575106
249,na,49.21973795830032
250,e,1000
251,na,17.26001677893733
252,na,75.87293139453034
253,na,54.196016953463385
254,na,43.93202299076657
255,na,69.75031778369517
256,na,1000
257,na,45.9805659647968
258,na,36.25670601054775
259,na,119.69685453843927
260,na,46.47267786587148
261,e,1000
262,na,1000
263,na,1000
264,e,1000
265,na,35.905120638091326
266,na,55.64715154033286
267,na,26.543033024424275
268,na,45.704771150088014
269,na,80.41309255994
270,na,1000
271,na,67.90795316400474
272,na,80.29714462943224
273,na,67.97405062670929
274,na,92.43779021748374
275,na,28.119005004613044
276,na,8.607754455739114
277,na,30.842316379850896
278,na,75.85076901190666
279,na,40.25027931315999
280,na,1000
281,na,55.067351854470814
282,na,70.1899596308838
283,na,49.88185649025205
284,na,42.53135251672254
285,e,1000
286,na,88.01165170740221
287,na,53.26878200744748
288,na,70.97998592591736
289,na,42.990132795917546
290,e,1000
291,na,72.72027737409934
292,e,1000
293,na,44.500512350475574
294,e,1000
295,na,49.591228736744334
296,na,36.3549398643475
297,na,35.05318542483339
298,e,1000
299,na,64.68304250777841
300,na,45.949764576152795
301,na,50.59891859912034
302,na,7.757911976865353
303,na,11.878649709202744
304,na,48.08119070135709
305,na,52.08117996470617
306,na,49.98275796790337
307,na,54.078999219900005
308,na,23.9822205683463
309,na,95.25809653360292
310,na,61.38529638414303
311,na,1000
312,na,49.639692501114745
313,na,32.372722662964435
314,e,1000
315,na,47.94945802696419
316,na,61.58780264510106
317,na,63.60385363356172
318,e,1000
319,na,43.22968244693918
320,na,70.1241377784072
321,na,59.00871436034187
322,na,75.71912107901856
323,na,97.4323571371645
324,na,68.84783759119458
325,na,53.20274485678397
326,na,35.03447171737271
327,na,38.1280224672154
328,na,42.25987936656914
329,na,36.284456995245215
330,na,61.804792965219235
331,na,45.504130143996626
332,na,1000
333,na,62.215872648751144
334,na,1000
335,na,44.276311092554536
336,na,70.9132661461858
337,na,54.92778330419068
338,na,27.417137853199474
339,na,69.7058347185055
340,na,72.29061804645178
341,na,33.436862441638546
342,na,44.32803294460078
343,na,47.16312084904472
344,na,38.878895632303355
345,na,83.37412769294527
346,na,28.481731991432646
347,na,44.79356284672368
348,na,24.32215752225327
349,na,57.2099068581133
350,na,42.10805215154989
351,na,31.058496194952188
352,na,36.52199063935778
353,na,42.4452030127657
354,na,85.9905371485691
355,na,50.18153897386732
356,na,24.220723650109242
357,na,41.831737763248796
358,na,50.99965717932065
359,na,54.550682622288726
360,na,47.26068764497461
361,na,1000
362,na,48.963128073641215
363,na,1000
364,na,53.831308527228444
365,na,10.000903071040526
366,na,59.11593537057333
367,na,40.22960931460836
368,na,37.67173160592516
369,na,61.55356352359839
370,na,40.45732787564606
371,na,1000
372,e,1000
373,na,46.72557476118376
374,na,57.12523891607155
375,e,1000
376,na,44.10691686078489
377,e,1000
378,e,1000
379,e,1000
380,na,32.34702775088941
381,na,59.929868923578255
382,na,1000
383,na,26.4411563373874
384,e,1000
385,na,52.83463833583675
386,na,33.179053298541625
387,na,59.2892385815479
388,na,84.38115201495114
389,na,24.091507236830854
390,na,29.314497975835568
391,na,60.99174534883818
392,na,69.01863374521535
393,na,9.267269832830717
394,na,53.22237039436166
395,na,56.140047400542656
396,na,60.07494339302956
397,na,75.14909521137442
398,na,45.82389071659695
399,na,73.69807388598763
400,na,1000
401,na,49.23423461692603
402,na,97.59049438057282
403,na,19.56123342203126
404,na,64.27798190303932
405,na,109.02097154402502
406,na,65.12546849498885
407,na,70.5612091202171
408,e,1000
409,na,37.17441734075662
410,na,12.355756198460533
411,na,51.258683839572726
412,na,46.06781742849544
413,e,1000
414,na,76.44802494135239
415,na,57.06501662136888
416,na,47.12016310357107
417,na,1000
418,e,1000
419,na,40.926743293470636
420,na,87.87235831969458
421,na,1000
422,na,73.82026442188028
423,na,62.27947382424388
424,na,56.67694868335542
425,na,48.27434605585702
426,na,54.63217099804828
427,na,21.59161066490374
428,na,32.743494095328735
429,na,93.39964028250273
430,na,1000
431,na,1000
432,na,56.486806982123724
433,na,44.00226951955732
434,na,54.08442074643828
435,na,48.68259872213422
436,na,39.54112119598968
437,e,1000
438,e,1000
439,na,48.462497019296684
440,na,1000
441,na,67.8328849791245
442,e,1000
443,e,1000
444,na,40.2362250409349
445,e,1000
446,na,34.13305525148045
447,na,54.279853146207365
448,na,84.73695617009265
449,e,1000
450,na,70.74693006785141
451,na,52.724772163566655
452,na,57.61761421078496
453,na,75.1982502621425
454,na,7.712248014894769
455,na,98.98506451769671
456,na,97.26468386818526
457,na,57.58946461299862
458,na,59.789207566151866
459,na,58.237334943868525
460,na,18.40663743097764
461,na,46.87022399028786
462,na,19.121819198740003
463,na,60.051542461966186
464,na,65.16872371740324
465,na,48.64682921071914
466,na,53.938027635377196
467,e,1000
468,na,107.11673544787801
469,na,35.17462102404987
470,na,32.47941128646304
471,na,45.27893077753703
472,na,36.21515819576314
473,na,1000
474,na,75.5790081279377
475,na,72.38362670087997
476,na,1000
477,e,1000
478,na,46.66663689869857
479,na,74.51475637830472
480,na,53.24315449431913
481,na,58.33211999363849
482,na,54.358338469379476
483,na,1000
484,na,66.6329202478531
485,na,1000
486,na,45.383755548722114
487,na,1000
488,na,45.98508976427381
489,e,1000
490,na,40.480497137147196
491,na,46.28475008161718
492,na,33.8966700257511
493,na,35.36126329189607
494,na,41.02003803894376
495,na,67.17621081228292
496,na,56.26995791333758
497,na,43.839529601479626
498,na,58.03548019809703
499,na,1000
500,na,23.060130441344096
501,na,72.9440389478925
502,na,53.508828667737085
503,na,1000
504,na,49.49749801676345
505,na,46.194022089114064
506,na,80.91863272116143
507,na,61.66024122786049
508,na,34.39016871461697
509,na,22.722766532824526
510,e,1000
511,na,19.41575819218337
512,na,51.19075950049269
513,na,40.96580815733313
514,na,12.181849906682707
515,na,47.93342759580057
516,na,61.90380977390187
517,na,50.81577496351551
518,na,1000
519,na,34.10006125286421
520,na,84.62793413408717
521,na,73.03778166415638
522,na,75.01219444257455
523,e,1000
524,na,54.46692928663164
525,na,51.493799251376075
526,na,60.74947175398209
527,na,65.33316186849305
528,na,41.68241689078183
529,na,48.45266191504714
530,na,81.14840551612805
531,na,75.80516979302543
532,na,96.94987261107039
533,na,59.822107637102704
534,na,85.15734465045841
535,na,76.1939832227108
536,na,32.67591261816249
537,na,45.575991793719176
538,na,19.639471272059684
539,e,1000
540,na,44.425553092131025
541,na,1000
542,na,21.520201570045415
543,e,1000
544,na,56.98571838819014
545,na,30.74735174374994
546,na,54.80817765535917
547,na,66.80885698295329
548,e,1000
549,na,51.230691246628076
550,na,49.22683605984701
551,na,1000
552,na,68.68442912776486
553,e,1000
554,na,77.09077287738614
555,na,41.01401067805969
556,na,110.49499706071539
557,na,47.27664678440087
558,na,60.20664864650962
559,na,29.683358288056258
560,na,65.59691560640466
561,na,52.147101787197904
562,na,58.4339849967275
563,na,36.478383580705845
564,na,24.301498853107407
565,na,52.66160188798919
566,na,56.39392923706786
567,na,1000
568,e,1000
569,na,25.750293281937783
570,na,45.58985606265407
571,na,35.45915913707556
572,na,64.3389614426404
573,na,59.253634145123286
574,na,51.79962277114118
575,na,39.251937655707195
576,na,72.77776272238667
577,na,80.36661481670488
578,na,79.20977825617594
579,na,79.34583320509664
580,na,49.2877278385566
581,na,53.78667614162938
582,na,71.56730413082022
583,na,48.24214365517048
584,na,71.66273495526495
585,na,58.40745902830459
586,na,15.708546082248123
587,na,1000
588,e,1000
589,na,62.491697416190924
590,e,1000
591,na,50.42268327592502
592,e,1000
593,na,49.23357827326126
594,na,29.252606864733544
595,na,42.28261649419709
596,na,63.6469323864972
597,na,45.793843849839995
598,e,1000
599,na,1000
600,na,36.13965366113669
601,na,53.718392371881635
602,na,39.800051193684865
603,na,41.53412745632082
604,na,19.509319826093186
605,na,42.619134333170535
606,na,40.75714423096486
607,e,1000
608,na,95.06389212069651
609,na,49.51484702137366
610,na,98.38873798274724
611,na,122.48028090173287
612,na,40.10030861394704
613,na,42.65614172280996
614,na,56.76776977082301
615,na,45.28157250867644
616,na,39.742326473067905
617,na,60.68209065358936
618,na,51.31308780255805
619,na,51.73416499964505
620,na,1000
621,na,67.95683747418249
622,na,78.85072248873755
623,na,25.472113450280677
624,na,78.60460564290354
625,na,37.370429091348825
626,na,56.0261408471701
627,na,60.10484714650314
628,na,47.30141384655567
629,na,14.652933637757755
630,na,55.23546228398795
631,na,43.379975789454164
632,na,112.63788692461002
633,na,62.166915510183806
634,na,59.399380286304726
635,na,51.000408315176365
636,na,45.564576882504696
637,na,53.936433564620756
638,na,47.02276898995423
639,na,53.37030003194747
640,na,54.05393913650971
641,na,78.65669796096655
642,e,1000
643,na,1000
644,na,59.01463554834657
645,na,71.21229297773377
646,na,48.138381493678686
647,na,95.12355279384205
648,na,49.49103004593991
649,e,1000
650,na,1000
651,na,1000
652,na,36.49177442538261
653,na,40.704183737959646
654,na,1000
655,e,1000
656,na,32.471884619208154
657,na,60.85486716637765
658,e,1000
659,na,67.53921816948426
660,na,57.678941105461526
661,e,1000
662,e,1000
663,na,1000
664,na,21.492743463328583
665,e,1000
666,na,34.66605337265484
667,na,59.63170530673332
668,na,68.00500924133858
669,na,20.106442894593457
670,na,43.29649106791836
671,na,73.14380403122561
672,na,48.42628852322299
673,na,69.2823019169157
674,na,77.95794234636911
675,na,59.61543098646949
676,na,36.38084888410307
677,na,68.49965745450223
678,na,52.55790603674757
679,na,59.41267920431852
680,na,49.281132639422395
681,na,1000
682,na,45.09202043712453
683,na,35.00453812554797
684,na,54.21689883731672
685,na,5.620157323309836
686,na,66.67837744915653
687,na,55.75623688530738
688,na,87.9882424259606
689,na,44.98485070849564
690,na,63.49234841545447
691,na,28.11771575243869
692,na,48.9176563194916
693,na,82.11591047316169
694,na,54.83272366407837
695,na,17.851166403424987
696,na,67.93976882574609
697,na,40.68882866050246
698,na,21.700395371333162
699,na,40.093976693325295
700,na,42.71820351314122
701,na,32.22159628080878
702,e,1000
703,na,56.18892578230544
704,na,14.498172993164946
705,na,65.5671664445828
706,na,67.6649853775217
707,na,51.81863963442898
708,na,60.080245098415155
709,na,55.28913169464449
710,e,1000
711,na,36.098356994464
712,na,1000
713,na,57.801412617396714
714,na,62.073608786927984
715,na,55.182499492690994
716,e,1000
717,e,1000
718,na,30.992000329886853
719,na,84.83961807566848
720,na,1000
721,e,1000
722,na,87.07410869557668
723,na,42.45199013991011
724,na,71.42590946052232
725,na,42.883798326309126
726,na,61.16144484974795
727,na,39.08126342321477
728,na,62.61022360196355
729,na,44.30846159621996
730,na,79.45544246666732
731,na,48.13088173031005
732,e,1000
733,na,78.03313425537965
734,na,63.04221385360919
735,na,102.12826420831652
736,na,23.52182141054633
737,na,50.33345542177444
738,na,52.23211996600189
739,na,66.52654368035248
740,na,72.58583670822381
741,na,52.97349867177815
742,na,80.48904841225676
743,na,68.4003384261272
744,na,38.24654531907047
745,na,58.20650326214237
746,na,50.930298105916116
747,na,40.22874719642286
748,na,1000
749,na,62.74069201571389
750,na,55.6472013845952
751,na,78.01828030072373
752,na,5.620157323309836
753,na,42.866981581887956
754,na,49.87296602053637
755,na,46.51869596860134
756,na,25.984578541989094
757,na,58.217694817980764
758,na,53.266383202029814
759,na,64.35095805833635
760,na,29.59967740832389
761,na,52.20713926001636
762,na,53.555127150789076
763,na,48.90025338712455
764,na,56.63990700185335
765,na,46.878822545260455
766,na,12.659709358321324
767,na,85.56958855026932
