node, assignment, time2inf_trt
0,ne_ni,69.98290354420506
1,ne_ni,1000
2,ne_ni,86.91383900842166
3,e,1000
4,ne_ni,1000
5,ne_ni,1000
6,ne_ni,1000
7,ne_ni,43.435419948274955
8,ne_ni,1000
9,ne_ni,1000
10,e,1000
11,ne_ni,69.48300140737196
12,ne_ni,1000
13,ne_i,1000
14,ne_ni,73.71039556725081
15,ne_ni,27.40690113065642
16,ne_i,95.98226397571902
17,ne_i,1000
18,ne_ni,1000
19,ne_ni,56.83313459208428
20,ne_ni,28.688348190061888
21,e,1000
22,ne_ni,91.65072882257076
23,ne_ni,1000
24,ne_ni,1000
25,ne_ni,34.55056968328937
26,ne_i,1000
27,ne_ni,1000
28,ne_ni,1000
29,e,1000
30,ne_ni,47.676643625169646
31,ne_ni,70.19465913680382
32,ne_ni,1000
33,ne_ni,125.71774963136617
34,ne_ni,1000
35,ne_ni,66.63506387923262
36,ne_ni,1000
37,ne_i,118.41640780982881
38,ne_ni,1000
39,ne_ni,54.694738624332594
40,ne_ni,9.088013620228686
41,ne_ni,1000
42,ne_ni,1000
43,ne_i,1000
44,ne_ni,38.82057873869099
45,ne_ni,33.40624101107471
46,ne_ni,78.87852771572143
47,ne_ni,48.147454904502865
48,ne_ni,118.12173998774583
49,e,1000
50,ne_ni,52.05787729865907
51,ne_ni,1000
52,ne_i,1000
53,ne_ni,32.36575781669607
54,ne_ni,26.437598508117155
55,ne_ni,57.02902782563769
56,ne_ni,27.092125615069655
57,ne_i,1000
58,ne_ni,1000
59,e,1000
60,ne_ni,77.94860834898206
61,ne_ni,1000
62,ne_i,1000
63,ne_ni,1000
64,ne_ni,1000
65,ne_ni,41.4937383073917
66,ne_ni,1000
67,ne_ni,24.368122710090653
68,ne_ni,1000
69,ne_i,1000
70,ne_ni,1000
71,ne_ni,1000
72,ne_ni,61.89950419697429
73,ne_i,1000
74,ne_i,1000
75,ne_i,1000
76,ne_ni,1000
77,ne_i,1000
78,ne_ni,1000
79,ne_ni,35.40670160187127
80,ne_ni,100.92027840763944
81,ne_ni,1000
82,e,148.2905260406323
83,ne_i,1000
84,ne_ni,1000
85,ne_ni,81.80478709722279
86,ne_ni,1000
87,ne_i,1000
88,ne_ni,72.76628817113254
89,ne_ni,1000
90,ne_ni,1000
91,ne_ni,97.19225987044655
92,ne_ni,1000
93,ne_ni,1000
94,ne_ni,73.8709489925978
95,e,1000
96,ne_ni,34.32021879013195
97,ne_ni,1000
98,ne_ni,1000
99,ne_ni,117.56147147135782
100,e,77.7846470039282
101,ne_ni,26.360671864131675
102,ne_i,1000
103,ne_ni,1000
104,ne_ni,1000
105,ne_ni,143.69178323630888
106,ne_ni,1000
107,ne_ni,85.64518977814582
108,ne_ni,44.304933466031265
109,ne_ni,1000
110,ne_ni,53.273136546789985
111,ne_ni,52.909139428034784
112,ne_ni,41.146724461236616
113,ne_i,1000
114,ne_ni,1000
115,ne_ni,61.66997410946337
116,ne_ni,1000
117,ne_i,1000
118,ne_ni,80.60616367687466
119,ne_ni,1000
120,ne_ni,1000
121,ne_i,22.44055085370496
122,ne_ni,48.700331185101696
123,ne_ni,1000
124,ne_ni,1000
125,ne_ni,91.21479153970067
126,ne_ni,97.2248915603351
127,ne_ni,84.74021850739945
128,ne_ni,1000
129,ne_ni,1000
130,ne_ni,1000
131,ne_ni,1000
132,ne_ni,66.75340786949901
133,ne_i,1000
134,ne_ni,1000
135,ne_ni,57.95831583112197
136,ne_ni,1000
137,ne_ni,1000
138,ne_ni,38.3447781745155
139,ne_ni,1000
140,e,1000
141,ne_ni,54.46134101214966
142,ne_i,1000
143,ne_ni,39.20793792766016
144,ne_ni,1000
145,ne_ni,63.76566571104726
146,ne_i,1000
147,ne_ni,67.45708152252868
148,ne_ni,1000
149,ne_ni,1000
150,ne_ni,1000
151,ne_ni,51.887826749899
152,ne_i,1000
153,ne_ni,1000
154,ne_ni,1000
155,ne_ni,1000
156,ne_ni,38.952530780296
157,ne_ni,1000
158,ne_ni,25.61961909854607
159,ne_ni,1000
160,e,1000
161,ne_i,102.17241266494364
162,ne_ni,1000
163,ne_ni,1000
164,ne_ni,63.71093416363028
165,ne_ni,104.96423022151279
166,ne_i,1000
167,ne_ni,1000
168,ne_ni,71.96014751301749
169,ne_ni,1000
170,ne_ni,59.495337549271376
171,ne_ni,46.43378034329324
172,ne_i,1000
173,ne_ni,1000
174,ne_ni,1000
175,ne_i,1000
176,ne_ni,37.54229009139808
177,ne_i,1000
178,ne_ni,1000
179,ne_ni,1000
180,ne_ni,1000
181,ne_ni,69.57718389261736
182,ne_ni,1000
183,ne_ni,55.90706044443477
184,ne_ni,32.64960491333339
185,ne_ni,37.062845317423395
186,ne_ni,1000
187,ne_ni,1000
188,ne_i,1000
189,ne_ni,15.897250196430612
190,ne_ni,89.16913232091768
191,ne_ni,58.12819349462623
192,ne_ni,59.81163323138014
193,ne_ni,33.39250079273817
194,e,1000
195,ne_ni,1000
196,ne_ni,1000
197,ne_i,14.109059523883927
198,ne_ni,13.913459823745379
199,ne_i,21.186820987558985
200,ne_i,1000
201,ne_ni,69.00253623441466
202,ne_ni,55.523148606183476
203,ne_ni,1000
204,ne_i,78.04736735777372
205,ne_ni,1000
206,ne_ni,84.35046072789562
207,ne_ni,1000
208,ne_i,1000
209,ne_ni,1000
210,ne_i,1000
211,ne_ni,103.45481649284847
212,ne_ni,1000
213,ne_ni,66.24319222605465
214,ne_ni,1000
215,ne_ni,1000
216,ne_ni,1000
217,ne_i,1000
218,ne_ni,1000
219,ne_ni,62.45876053393003
220,ne_ni,118.5062748266959
221,ne_ni,1000
222,ne_ni,1000
223,ne_ni,120.75655502317797
224,ne_ni,1000
225,ne_i,19.8024273989794
226,ne_ni,1000
227,ne_ni,1000
228,ne_i,1000
229,ne_ni,37.58533340306318
230,ne_ni,1000
231,ne_ni,1000
232,e,1000
233,ne_i,36.82118397507044
234,ne_ni,1000
235,ne_ni,1000
236,ne_ni,1000
237,ne_ni,45.45486351935816
238,ne_i,1000
239,ne_ni,65.34755027184114
240,ne_i,1000
241,ne_i,23.25044398477596
242,ne_ni,82.61719317025562
243,ne_ni,1000
244,ne_ni,87.36835048561582
245,ne_ni,63.13148162735451
246,e,1000
247,ne_ni,1000
248,ne_ni,1000
249,ne_ni,1000
250,ne_ni,76.13187914123219
251,ne_ni,1000
252,ne_ni,53.21623212145973
253,ne_ni,1000
254,ne_ni,68.22606430666909
255,ne_ni,43.29594642714931
256,ne_ni,1000
257,ne_ni,1000
258,ne_ni,33.58415331399758
259,ne_ni,1000
260,ne_ni,86.82521850099671
261,ne_ni,67.82915843814199
262,ne_ni,1000
263,ne_ni,79.35393636535026
264,ne_ni,48.73229451596986
265,ne_i,1000
266,ne_i,64.28524251232
267,ne_ni,1000
268,ne_ni,94.39620565673358
269,ne_ni,1000
270,ne_ni,1000
271,ne_ni,1000
272,ne_ni,1000
273,ne_ni,48.539912379557514
274,ne_ni,79.69602298598008
275,ne_ni,38.464917237234786
276,ne_ni,1000
277,ne_ni,68.20002130570519
278,ne_ni,1000
279,ne_ni,68.71555418529704
280,ne_ni,34.21309213390501
281,ne_i,1000
282,ne_ni,1000
283,ne_ni,1000
284,ne_i,1000
285,ne_i,1000
286,ne_ni,29.433233214360275
287,ne_ni,90.16795122485581
288,ne_ni,1000
289,ne_i,1000
290,ne_ni,37.641404272657745
291,ne_ni,1000
292,ne_i,1000
293,ne_ni,1000
294,ne_ni,1000
295,ne_ni,58.40427117680531
296,ne_ni,1000
297,ne_ni,10.553764184533152
298,ne_ni,56.57797595559631
299,ne_ni,21.333397138051897
300,ne_ni,34.57823818016547
301,ne_i,102.56381454008866
302,ne_ni,136.73381275475563
303,ne_ni,74.63590522252625
304,ne_ni,1000
305,ne_ni,1000
306,ne_ni,1000
307,ne_ni,53.232726111190665
308,ne_ni,1000
309,ne_ni,63.7759411610226
310,ne_ni,1000
311,ne_ni,1000
312,ne_ni,1000
313,ne_ni,1000
314,ne_ni,39.62950079187776
315,ne_i,1000
316,ne_ni,1000
317,ne_ni,1000
318,ne_ni,75.30681300659509
319,ne_ni,1000
320,ne_ni,38.60525305476802
321,ne_ni,71.91522352802035
322,ne_ni,1000
323,ne_ni,43.042910978791134
324,e,1000
325,ne_ni,1000
326,ne_i,34.9814255714608
327,ne_i,103.43645676840462
328,ne_ni,52.494064194824496
329,ne_ni,1000
330,ne_ni,1000
331,ne_ni,1000
332,ne_ni,1000
333,ne_ni,1000
334,ne_ni,1000
335,ne_ni,50.48855832083507
336,ne_ni,1000
337,e,1000
338,ne_ni,1000
339,ne_i,1000
340,ne_ni,1000
341,ne_i,1000
342,ne_ni,1000
343,ne_i,1000
344,ne_ni,1000
345,e,1000
346,ne_ni,1000
347,ne_i,1000
348,ne_ni,1000
349,ne_ni,1000
350,ne_i,1000
351,ne_ni,58.04011080026973
352,e,1000
353,ne_i,53.35841061482838
354,ne_ni,1000
355,ne_ni,41.504432681498216
356,ne_ni,1000
357,ne_ni,1000
358,ne_ni,1000
359,ne_ni,128.7550143343671
360,ne_ni,54.112059798653995
361,ne_ni,1000
362,ne_ni,1000
363,ne_ni,57.872434242880324
364,ne_ni,1000
365,ne_ni,1000
366,ne_ni,1000
367,ne_ni,1000
368,ne_ni,104.94048517248228
369,ne_ni,47.9305127433939
370,ne_ni,1000
371,ne_ni,1000
372,ne_ni,94.5339980662591
373,ne_ni,1000
374,ne_ni,1000
375,ne_ni,1000
376,ne_i,1000
377,ne_ni,80.98535524306986
378,ne_ni,1000
379,ne_ni,1000
380,ne_ni,1000
381,ne_ni,1000
382,ne_i,68.0073698996988
383,ne_ni,1000
384,ne_ni,0
385,ne_ni,1000
386,ne_ni,1000
387,ne_i,1000
388,ne_ni,1000
389,ne_ni,1000
390,ne_ni,1000
391,ne_ni,78.98962382465818
392,ne_ni,1000
393,ne_i,1000
394,ne_ni,87.74837765182117
395,ne_ni,1000
396,ne_i,1000
397,ne_ni,102.3595528573079
398,ne_ni,1000
399,ne_ni,1000
400,ne_ni,63.61417595570093
401,ne_ni,34.779741329088665
402,ne_i,1000
403,ne_ni,22.560770179971307
404,ne_ni,1000
405,ne_ni,1000
406,ne_i,1000
407,ne_ni,1000
408,ne_ni,87.832538900565
409,ne_ni,1000
410,ne_ni,1000
411,ne_i,1000
412,ne_ni,1000
413,ne_ni,1000
414,ne_ni,1000
415,ne_i,1000
416,ne_ni,78.55209033876824
417,ne_ni,1000
418,ne_ni,85.78399967052304
419,ne_ni,46.077237272249505
420,ne_ni,82.23061524818836
421,ne_ni,1000
422,ne_ni,1000
423,ne_i,81.34885750241841
424,ne_ni,1000
425,ne_ni,97.43142852411596
426,ne_i,1000
427,ne_ni,1000
428,ne_ni,1000
429,ne_ni,1000
430,ne_ni,49.178980644887766
431,ne_ni,1000
432,ne_ni,1000
433,ne_ni,1000
434,ne_ni,57.175665681929274
435,ne_i,1000
436,ne_ni,2.9482755183720575
437,ne_i,89.213462465734
438,ne_ni,1000
439,ne_ni,1000
