node, assignment, time2inf_trt
0,ne_ni,1000
1,ne_i,1000
2,ne_ni,74.14227041808635
3,ne_ni,1000
4,ne_i,1000
5,ne_ni,1000
6,ne_ni,69.51657143303247
7,ne_ni,1000
8,ne_ni,1000
9,ne_ni,34.94025217503258
10,ne_ni,1000
11,ne_ni,70.67027340555808
12,ne_ni,1000
13,ne_ni,94.95558870050037
14,ne_i,94.65091803670295
15,ne_ni,1000
16,ne_i,1000
17,ne_ni,81.80426187878325
18,ne_ni,25.50132679495695
19,ne_i,1000
20,ne_ni,80.54945900027651
21,ne_ni,1000
22,ne_ni,75.33039008518857
23,ne_ni,86.86140780284833
24,ne_ni,1000
25,ne_i,1000
26,ne_ni,1000
27,ne_ni,69.59451795129388
28,ne_ni,115.61332389269398
29,ne_ni,125.14324872933048
30,ne_ni,104.91718786554274
31,ne_ni,1000
32,ne_ni,1000
33,ne_ni,139.84350140713315
34,ne_ni,41.22197826758661
35,ne_ni,1000
36,ne_ni,77.0329788878304
37,ne_i,1000
38,ne_i,1000
39,ne_ni,121.35220535996623
40,ne_ni,1000
41,ne_ni,80.82954756409308
42,ne_ni,1000
43,ne_ni,1000
44,ne_i,57.85258568597124
45,ne_ni,28.634935207854994
46,ne_i,1000
47,ne_ni,49.890556812741906
48,ne_ni,93.62963830970249
49,ne_ni,1000
50,ne_ni,1000
51,ne_ni,92.5997160530997
52,ne_ni,58.305895133228674
53,ne_ni,147.62859430402844
54,ne_ni,47.33163387602799
55,ne_ni,63.63140559301559
56,ne_ni,1000
57,ne_ni,1000
58,ne_ni,1000
59,ne_ni,1000
60,ne_ni,1000
61,e,48.660713262966894
62,ne_ni,1000
63,ne_ni,85.29319644145485
64,ne_ni,1000
65,ne_ni,67.51407843218075
66,ne_ni,118.2457359096822
67,ne_ni,1000
68,ne_ni,49.87427609139908
69,ne_ni,1000
70,ne_i,1000
71,ne_ni,1000
72,ne_ni,1000
73,ne_i,1000
74,ne_i,1000
75,ne_ni,114.77400694093687
76,ne_ni,1000
77,ne_ni,68.17474989107289
78,ne_ni,1000
79,ne_i,61.858796005985845
80,ne_ni,116.86802742732708
81,ne_ni,1000
82,ne_i,1000
83,ne_i,145.14072329181892
84,ne_ni,1000
85,ne_i,1000
86,ne_ni,122.84078828693156
87,e,1000
88,ne_i,1000
89,ne_ni,72.59127419567422
90,e,1000
91,ne_ni,113.2998496218347
92,ne_ni,1000
93,e,149.24811530818738
94,e,1000
95,ne_ni,62.091432974596835
96,ne_ni,1000
97,e,1000
98,ne_ni,82.7754266492324
99,ne_ni,56.96801700252613
100,ne_ni,94.61034857713281
101,ne_i,1000
102,ne_ni,58.213248824171274
103,ne_ni,1000
104,ne_ni,1000
105,ne_ni,36.87984339071347
106,ne_ni,61.4557639415897
107,ne_ni,138.4791086222873
108,e,1000
109,ne_ni,63.78146948009293
110,ne_ni,87.02636283942165
111,ne_ni,1000
112,ne_ni,117.47191007606382
113,ne_ni,1000
114,ne_i,109.84302668162104
115,ne_ni,54.37453453618772
116,ne_ni,90.36924970219769
117,ne_ni,99.71557583075356
118,ne_ni,1000
119,ne_ni,70.51895904146103
120,ne_i,1000
121,ne_ni,87.83905760899626
122,ne_ni,105.94155625763219
123,ne_ni,1000
124,ne_ni,131.32401090999807
125,e,1000
126,ne_ni,1000
127,ne_ni,1000
128,ne_i,1000
129,ne_ni,88.60705065443531
130,ne_i,1000
131,ne_ni,62.131269284923825
132,ne_ni,1000
133,ne_ni,51.47247675056233
134,ne_ni,89.21596801185375
135,ne_i,119.59822183880392
136,ne_ni,1000
137,ne_ni,92.86684864670673
138,ne_ni,1000
139,ne_ni,71.26017234913851
140,ne_ni,149.92018967955107
141,ne_ni,1000
142,ne_ni,68.41834117503802
143,ne_ni,92.68838463766434
144,ne_ni,89.24954478913845
145,ne_i,1000
146,ne_ni,114.35977242602654
147,ne_ni,1000
148,e,1000
149,ne_ni,119.53441921313163
150,ne_ni,113.31325323690245
151,ne_ni,1000
152,ne_ni,1000
153,ne_i,1000
154,ne_ni,1000
155,ne_ni,82.92527876771096
156,ne_ni,1000
157,ne_ni,1000
158,ne_ni,57.43177914099963
159,ne_ni,1000
160,ne_ni,118.04268392405604
161,ne_ni,65.01318877795828
162,ne_ni,1000
163,ne_ni,20.92055911280148
164,ne_i,1000
165,ne_ni,67.74091865942029
166,ne_i,1000
167,ne_ni,74.32848932827252
168,ne_ni,1000
169,ne_ni,106.47869674123282
170,ne_ni,1000
171,ne_i,1000
172,ne_ni,1000
173,ne_ni,116.95592460907869
174,ne_ni,1000
175,ne_i,1000
176,ne_ni,1000
177,ne_ni,87.58580326753494
178,ne_i,1000
179,ne_ni,112.3643600920092
180,ne_ni,111.48207658348775
181,e,1000
182,ne_ni,1000
183,ne_i,1000
184,ne_ni,107.12451253880482
185,ne_ni,85.1088700992362
186,ne_ni,1000
187,ne_ni,1000
188,ne_ni,1000
189,ne_ni,90.22713417731181
190,ne_ni,75.92187939772242
191,ne_i,60.41657017686701
192,ne_ni,124.10383295482225
193,ne_ni,1000
194,ne_ni,68.66877672395826
195,ne_ni,105.02872854296584
196,ne_i,140.2498417726353
197,ne_ni,89.85589907286425
198,ne_i,1000
199,e,1000
200,ne_i,53.41093858930592
201,ne_ni,96.33423185365042
202,ne_ni,1000
203,ne_i,1000
204,ne_ni,1000
205,ne_ni,75.45934271096249
206,ne_ni,74.13135285406143
207,ne_ni,148.25986591152437
208,ne_ni,36.497817665773596
209,ne_ni,45.48649951485417
210,ne_ni,148.33366701895878
211,ne_ni,1000
212,ne_i,1000
213,ne_i,125.59660365374269
214,ne_ni,87.04366732177806
215,ne_ni,1000
216,e,75.81004345039831
217,ne_ni,128.88603945160654
218,ne_ni,130.93350503488304
219,ne_ni,51.94443150721734
220,ne_ni,145.7053010087763
221,ne_ni,80.22194220025172
222,ne_ni,90.76835249651062
223,ne_ni,114.77518884454682
224,e,1000
225,ne_ni,103.50930620290858
226,ne_ni,1000
227,ne_ni,109.67678046695178
228,ne_ni,1000
229,ne_ni,1000
230,ne_i,1000
231,ne_i,1000
232,ne_ni,63.19086591217586
233,ne_ni,1000
234,ne_ni,76.67838108359194
235,ne_ni,1000
236,ne_ni,118.79683545220276
237,ne_ni,79.92519006410208
238,ne_ni,126.47437439533803
239,ne_ni,63.522143798221286
240,ne_ni,86.8686240686416
241,ne_i,1000
242,ne_ni,1000
243,ne_ni,139.11820257093146
244,ne_ni,82.25416128546985
245,ne_ni,79.67582211542202
246,ne_ni,1000
247,ne_ni,82.45531536125812
248,ne_ni,1000
249,e,1000
250,ne_ni,1000
251,ne_ni,141.88848471083176
252,ne_ni,90.16641266822808
253,ne_ni,1000
254,ne_ni,91.92076026469267
255,ne_ni,56.42772211587333
256,ne_ni,126.40435908732505
257,ne_ni,139.82458254063735
258,ne_ni,113.34565743928603
259,e,1000
260,ne_i,113.54508880516887
261,ne_i,92.8083960211614
262,ne_ni,54.73599655373947
263,ne_ni,1000
264,ne_ni,1000
265,ne_ni,48.47286309495677
266,ne_i,1000
267,ne_ni,1000
268,ne_ni,63.48413819250376
269,ne_ni,1000
270,ne_ni,1000
271,ne_ni,104.82344782032354
272,ne_ni,1000
273,ne_ni,1000
274,ne_i,100.44002143968554
275,ne_ni,34.78097952831227
276,ne_ni,1000
277,ne_ni,1000
278,ne_ni,1000
279,ne_ni,0
280,ne_i,1000
281,ne_ni,104.71360559727658
282,ne_ni,64.02820362475669
283,ne_ni,1000
284,ne_ni,57.23209838782454
285,e,145.98141924994266
286,ne_ni,84.12634240842904
287,ne_ni,1000
288,ne_i,1000
289,ne_i,1000
290,ne_i,1000
291,ne_ni,1000
292,ne_ni,1000
293,ne_i,1000
294,ne_i,109.88605246328218
295,ne_ni,63.47866640731501
296,ne_i,1000
297,ne_i,86.06706059835476
298,ne_ni,106.83925440312011
299,ne_ni,119.78210904083511
300,ne_ni,130.94337009810963
301,ne_ni,95.59287610009041
302,e,1000
303,ne_ni,1000
304,ne_ni,1000
305,ne_i,1000
306,ne_ni,51.709325268161614
307,ne_ni,98.99740489224544
308,ne_ni,1000
309,ne_ni,93.68233168673115
310,ne_ni,1000
311,ne_ni,104.30229133939038
312,ne_ni,68.30104883131524
313,ne_ni,81.54315606732683
314,ne_i,59.832991809706115
315,ne_ni,1000
316,ne_ni,84.41272905373492
317,ne_ni,1000
318,ne_ni,1000
319,e,109.10554644000479
320,ne_ni,129.72108131060162
321,ne_ni,101.96252417199568
322,ne_ni,71.77201083742654
323,ne_i,1000
324,ne_ni,0
325,ne_i,1000
326,ne_ni,115.72333974979186
327,ne_ni,74.22716853738437
328,ne_ni,63.7713482979853
329,ne_ni,94.96019980045203
330,ne_ni,104.66887556886132
331,ne_ni,1000
332,ne_ni,1000
333,ne_ni,1000
334,ne_ni,26.58295536605413
335,ne_ni,1000
336,ne_ni,106.69837970710115
337,ne_i,1000
338,ne_ni,101.00391448561444
339,ne_ni,59.23244806582934
340,ne_ni,1000
341,ne_ni,88.59321261446087
342,ne_ni,111.83340347386125
343,ne_i,89.6773640605358
344,ne_ni,133.5580009051348
345,ne_ni,118.42007241901915
346,ne_ni,1000
347,ne_ni,58.48962563404175
348,ne_i,80.54210099900092
349,ne_ni,91.49650824153028
350,ne_ni,81.98186911853158
351,ne_ni,48.44038309288561
352,ne_ni,1000
353,ne_ni,55.17764818218737
354,ne_ni,1000
355,e,1000
356,ne_i,1000
357,ne_i,1000
358,ne_ni,1000
359,ne_ni,1000
360,ne_i,90.94934196453433
361,ne_ni,111.5599368024218
362,ne_i,1000
363,ne_ni,1000
364,ne_ni,1000
365,ne_i,124.30296811753306
366,ne_ni,64.60664224812913
367,ne_ni,83.18216777332975
368,ne_ni,113.28686835542696
369,e,1000
370,ne_i,109.36835894975017
371,ne_ni,1000
372,ne_ni,1000
373,ne_ni,93.24780016793021
374,ne_i,101.05643164399883
375,ne_i,60.71730138580701
376,ne_ni,68.6959090680287
377,ne_ni,1000
378,ne_ni,124.04594396344048
379,ne_ni,1000
380,ne_ni,1000
381,ne_ni,124.06372618839417
382,ne_ni,1000
383,ne_ni,77.89919222304334
384,ne_ni,128.66645700232755
385,ne_ni,1000
386,ne_ni,47.09156076829326
387,ne_ni,46.60846350286839
388,ne_i,1000
389,ne_ni,1000
390,ne_ni,1000
391,ne_ni,1000
392,ne_i,1000
393,ne_ni,111.03204948249238
394,ne_i,113.94763064470064
395,ne_ni,68.75088644563151
396,ne_ni,88.64631515219108
397,ne_ni,26.659712086174704
398,ne_ni,1000
399,ne_ni,116.61753067161524
400,ne_ni,75.97676639840238
401,ne_ni,98.05644091396464
402,ne_i,1000
403,ne_ni,148.12753194775365
404,ne_ni,78.79818558113593
405,ne_ni,56.140881661792015
406,ne_ni,1000
407,ne_i,118.87923722248044
408,ne_ni,82.30913648339369
409,ne_ni,54.6898991636764
410,ne_ni,98.2674361419642
411,ne_i,1000
412,ne_ni,1000
413,ne_ni,91.23069896043295
414,ne_ni,1000
415,ne_ni,94.19114429835966
416,ne_ni,1000
417,e,1000
418,ne_ni,59.64458051151887
419,ne_ni,1000
420,ne_ni,86.57296034438755
421,ne_ni,119.5552706750366
422,ne_ni,130.68772665081065
423,ne_ni,97.84383433757205
424,ne_i,1000
425,ne_i,1000
426,ne_ni,85.97831769104133
427,ne_ni,58.129361762354584
428,ne_ni,120.30059954763922
429,ne_ni,71.62056106976905
430,ne_ni,1000
431,ne_ni,115.63025403415988
432,ne_ni,72.84451538270476
433,ne_ni,96.84652613339085
434,ne_ni,1000
435,ne_ni,64.90698967608589
436,ne_i,1000
437,ne_ni,89.1074945273868
438,ne_ni,94.91900587244928
439,ne_ni,1000
440,ne_ni,101.26216577837089
441,ne_ni,120.31553732469739
442,ne_i,1000
443,ne_ni,121.98799774938847
444,e,1000
445,ne_ni,87.05304730860601
446,ne_i,1000
