node, assignment, time2inf_trt
0,ne_ni,43.435233612612144
1,ne_ni,88.96024348331211
2,ne_ni,14.15720178104543
3,ne_ni,1000
4,ne_ni,57.467118465501194
5,e,1000
6,ne_ni,58.634594653841155
7,e,1000
8,ne_ni,19.184874671026154
9,ne_ni,58.11343581281033
10,ne_ni,1000
11,ne_ni,77.50287114783562
12,ne_ni,1000
13,ne_ni,41.16228741783047
14,ne_ni,1000
15,ne_ni,82.88732352682776
16,ne_ni,94.43576022003971
17,ne_ni,1000
18,ne_ni,52.79036255845673
19,ne_ni,67.2279222299226
20,e,1000
21,ne_ni,92.47137008385688
22,ne_ni,39.5205930045923
23,ne_ni,42.04754659994277
24,ne_ni,49.66831345790266
25,ne_ni,99.88386564007875
26,ne_ni,107.1790700211781
27,ne_ni,68.27585113229952
28,e,1000
29,ne_ni,1000
30,ne_ni,65.51681626980604
31,ne_ni,61.28936297496651
32,ne_ni,63.95956055460843
33,ne_ni,42.81656004977785
34,ne_ni,30.503121985146905
35,e,1000
36,ne_ni,1000
37,ne_ni,1000
38,ne_ni,1000
39,ne_ni,82.90658484442412
40,ne_ni,50.74417317469712
41,ne_ni,75.08792736987637
42,ne_ni,1000
43,ne_ni,60.90979630899813
44,ne_ni,49.50027077790225
45,ne_ni,0
46,e,1000
47,ne_ni,56.9916809732054
48,ne_ni,1000
49,ne_ni,1000
50,ne_ni,12.237027104964529
51,ne_ni,1000
52,ne_ni,1000
53,ne_ni,100.71346360163612
54,ne_ni,29.168819712556473
55,ne_ni,66.82774580330214
56,ne_ni,112.04648881014906
57,ne_ni,56.49900885902041
58,ne_ni,67.45820030052415
59,ne_ni,62.935770845043955
60,ne_ni,77.07115435550108
61,ne_ni,1000
62,ne_ni,55.98736120332608
63,ne_ni,1000
64,ne_ni,41.69458095441797
65,e,1000
66,ne_ni,101.84351772353615
67,ne_ni,74.77569149275459
68,ne_ni,27.435609292511874
69,e,1000
70,ne_ni,13.13568559225203
71,ne_ni,1000
72,ne_ni,78.2598978883035
73,ne_ni,120.19978844867887
